A,TOTAL,T,Y45-54,HLD,LT	48930 	44040 	38480 	29900 	24820 i
A,TOTAL,T,Y45-54,HLD,LU	710 	670 	600 	470 	400 
A,TOTAL,T,Y45-54,HLD,LV	22470 	21470 	17880 	16200 	: 
A,TOTAL,T,Y45-54,HLD,ME	11700 	: 	: 	: 	: 
A,TOTAL,T,Y45-54,HLD,MK	: 	41940 	: 	: 	: 
A,TOTAL,T,Y45-54,HLD,MT	3230 	2320 	2010 	1390 	1350 
A,TOTAL,T,Y45-54,HLD,NL	22760 	22090 	19040 	15260 	12260 
A,TOTAL,T,Y45-54,HLD,NO	14670 	13560 	12590 	10840 	: 
A,TOTAL,T,Y45-54,HLD,PL	486300 	431810 	399150 	353100 	: 
A,TOTAL,T,Y45-54,HLD,PT	54440 	44020 	40220 	43160 	37660 
A,TOTAL,T,Y45-54,HLD,RO	636370 	617070 	632780 	648140 	597010 
A,TOTAL,T,Y45-54,HLD,RS	132200 	: 	: 	: 	: 
A,TOTAL,T,Y45-54,HLD,SE	18230 	16680 	14240 	11910 	9900 
A,TOTAL,T,Y45-54,HLD,SI	18710 	19130 	18080 	15450 	: 
A,TOTAL,T,Y45-54,HLD,SK	6610 	5860 	6020 	4610 	4220 
A,TOTAL,T,Y45-54,HLD,UK	49150 	48720 	43920 	: 	: 
A,TOTAL,T,Y55-64,HLD,AT	26980 	27490 	28930 	27610 	26920 
A,TOTAL,T,Y55-64,HLD,BE	10470 	10110 	10510 	11640 	: 
A,TOTAL,T,Y55-64,HLD,BG	93810 	64100 	48190 	31950 	25540 i
A,TOTAL,T,Y55-64,HLD,CH	16230 	: 	16420 	5740 	: 
A,TOTAL,T,Y55-64,HLD,CY	11630 	10640 	11100 	10210 	8860 
A,TOTAL,T,Y55-64,HLD,CZ	6410 	8890 	8490 	6790 	7140 
A,TOTAL,T,Y55-64,HLD,DE	79270 	84800 	86380 	92510 	92230 
A,TOTAL,T,Y55-64,HLD,DK	10260 	10570 	10250 	12040 	: 
A,TOTAL,T,Y55-64,HLD,EE	4590 	4190 	3730 	2540 	2560 
A,TOTAL,T,Y55-64,HLD,EL	156230 	176370 	187790 	146840 	137910 
A,TOTAL,T,Y55-64,HLD,ES	253180 	243010 	239830 	236170 	218710 i
A,TOTAL,T,Y55-64,HLD,EU27_2020	2830160 	2631160 	2569440 	2213770 	: 
