A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,CZ	3.97 	3.59 	2.44 	1.03 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,DE	35.42 	28.28 	21.22 	19.22 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,DK	3.68 	2.60 	1.91 	0.91 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,EE	1.84 	1.22 	1.05 	0.99 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,EL	56.80 	60.42 	50.56 	36.47 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,ES	53.51 	44.26 	43.41 	26.72 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,FI	6.46 	6.12 	5.37 	4.61 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,FR	42.43 	33.84 	35.05 	30.92 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,HR	: 	4.36 	8.95 	6.24 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,HU	54.68 	46.85 	39.72 	29.28 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,IE	10.79 	8.88 	8.68 	8.22 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,IS	: 	: 	0.09 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,IT	56.49 	49.07 	79.32 	44.50 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,LT	13.19 	9.74 	11.47 	9.57 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,LU	0.16 	0.12 	0.14 	0.16 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,LV	9.85 	7.76 	4.62 	4.24 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,ME	: 	: 	2.73 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,MT	0.57 	0.46 	0.56 	0.35 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,NL	4.09 	2.83 	2.11 	1.68 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,NO	4.59 	3.70 	4.25 	3.41 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,PL	313.35 	293.75 	223.66 	173.06 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,PT	6.86 	5.17 	6.85 	5.62 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,RO	218.37 	166.87 	273.70 	158.38 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,SE	3.90 	3.73 	2.91 	2.55 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,SI	3.42 	2.99 	2.94 	2.70 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,SK	2.76 	2.39 	1.49 	1.60 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y_LT35,UK	8.63 	5.98 	5.02 	5.43 
